"num_codigo";"num_codigo_exec";"num_codigo_liqu";"nom_orgao_orcamento_exec"
"2021.3.11.11101.306.2984.500004.5";"2021.3.11.11101.306.2984.500004.5";"2021.4219644.11101.0.500004.306.2984.36754.5";"Secretaria da Educação"
"2021.3.11.11101.306.2984.500004.5";"2021.3.11.11101.306.2984.500004.5";"2021.4219524.11101.38.500004.306.2984.36754.5";"Secretaria da Educação"
"2026.3.19.19601.436.5607.500070.5";"2026.3.19.19601.436.5607.500070.5";"2026.6184137.19601.3.500070.436.5607.93689.5";"Secretaria da Saúde"
"2026.3.19.19601.436.5607.500070.5";"2026.3.19.19601.436.5607.500070.5";"2026.6184195.19601.0.500070.436.5607.93689.5";"Secretaria da Saúde"
"2024.3.28.28101.405.3360.500063.5";"2024.3.28.28101.405.3360.500063.5";"2024.5386047.11601.1.500063.405.3360.57469.5";"Secretaria de Ciência, Tecnologia e Inovação"
"2024.3.28.28101.405.3360.500063.5";"2024.3.28.28101.405.3360.500063.5";"2024.5228182.28101.1.500063.405.3360.57469.5";"Secretaria de Ciência, Tecnologia e Inovação"
"2024.3.28.28101.405.3360.500063.5";"2024.3.28.28101.405.3360.500063.5";"2024.5228183.28101.0.500063.405.3360.57469.5";"Secretaria de Ciência, Tecnologia e Inovação"
"2018.3.11.11101.212.2984.500043.5";"2018.3.11.11101.212.2984.500043.5";"2018.2716400.11101.0.500043.212.2984.20572.5";"Secretaria da Educação"
"2018.3.11.11101.212.2984.500043.5";"2018.3.11.11101.212.2984.500043.5";"2018.2734505.11101.38.500043.212.2984.20572.5";"Secretaria da Educação"
"2018.3.11.11101.212.2984.500043.5";"2018.3.11.11101.212.2984.500043.5";"2018.2734437.11101.0.500043.212.2984.20572.5";"Secretaria da Educação"
"2018.3.11.11101.212.2984.500043.5";"2018.3.11.11101.212.2984.500043.5";"2018.2716295.11101.1.500043.212.2984.20572.5";"Secretaria da Educação"
"2018.3.11.11101.212.2984.500043.5";"2018.3.11.11101.212.2984.500043.5";"2018.2716714.11101.38.500043.212.2984.20572.5";"Secretaria da Educação"
"2025.3.11.11101.425.3332.500004.5";"2025.3.11.11101.425.3332.500004.5";"2025.5677145.11101.1.500004.425.3332.86482.5";"Secretaria da Educação"
"2025.3.11.11101.425.3332.500004.5";"2025.3.11.11101.425.3332.500004.5";"2025.5676818.11101.0.500004.425.3332.86482.5";"Secretaria da Educação"
"2026.3.18.18401.417.1399.500002.5";"2026.3.18.18401.417.1399.500002.5";"2026.6182927.18401.0.500002.417.1399.93659.5";"Secretaria de Desenvolvimento Rural"
"2026.3.18.18401.417.1399.500002.5";"2026.3.18.18401.417.1399.500002.5";"2026.6182610.18401.1.500002.417.1399.93659.5";"Secretaria de Desenvolvimento Rural"
"2021.3.26.26401.305.7794.500052.5";"2021.3.26.26401.305.7794.500052.5";"2021.4541692.26401.0.500052.305.7794.35644.5";"Secretaria de Desenvolvimento Urbano"
"2019.3.11.11101.212.7744.500024.5";"2019.3.11.11101.212.7744.500024.5";"2019.3184595.11101.38.500024.212.7744.25776.5";"Secretaria da Educação"
"2019.3.11.11101.212.7744.500024.5";"2019.3.11.11101.212.7744.500024.5";"2019.3182283.11101.0.500024.212.7744.25776.5";"Secretaria da Educação"
"2019.3.11.11101.212.7744.500024.5";"2019.3.11.11101.212.7744.500024.5";"2019.3182118.11101.1.500024.212.7744.25776.5";"Secretaria da Educação"
"2024.3.21.21301.414.5793.500067.5";"2024.3.21.21301.414.5793.500067.5";"2024.5205391.21301.1.500067.414.5793.57471.5";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2024.3.21.21301.414.5793.500067.5";"2024.3.21.21301.414.5793.500067.5";"2024.5205543.21301.0.500067.414.5793.57471.5";"Secretaria do Trabalho, Emprego, Renda e Esporte"
