"num_codigo";"num_codigo_exec";"num_codigo_liqu";"nom_orgao_orcamento_exec"
"2021.3.11.11201.306.7524.600002.6";"2021.3.11.11201.306.7524.600002.6";"2021.4225921.11201.1.600002.306.7524.46524.6";"Secretaria da Educação"
"2021.3.18.18401.304.1926.600012.6";"2021.3.18.18401.304.1926.600012.6";"2021.4234802.18401.1.600012.304.1926.51517.6";"Secretaria de Desenvolvimento Rural"
"2022.3.20.20101.314.7880.600006.6";"2022.3.20.20101.314.7880.600006.6";"2022.4571216.20101.0.600006.314.7880.51875.6";"Secretaria da Segurança Pública"
"2022.3.21.21301.305.1009.600036.6";"2022.3.21.21301.305.1009.600036.6";"2022.4923475.21301.0.600036.305.1009.57114.6";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2023.3.11.11101.306.5266.600031.6";"2023.3.11.11101.306.5266.600031.6";"2023.4939750.11101.94.600031.306.5266.57248.6";"Secretaria da Educação"
"2023.3.11.11301.306.4048.600009.6";"2023.3.11.11301.306.4048.600009.6";"2023.4934969.11301.0.600009.306.4048.55823.6";"Secretaria da Educação"
"2023.3.18.18401.304.1926.600012.6";"2023.3.18.18401.304.1926.600012.6";"2023.4934430.18401.1.600012.304.1926.55826.6";"Secretaria de Desenvolvimento Rural"
"2023.3.21.21301.305.1009.600013.6";"2023.3.21.21301.305.1009.600013.6";"2023.5201090.21301.1.600013.305.1009.55827.6";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2023.3.22.22301.302.7857.600027.6";"2023.3.22.22301.302.7857.600027.6";"2023.4946027.22301.1.600027.302.7857.57299.6";"Secretaria de Cultura"
"2023.3.38.38101.300.2170.600025.6";"2023.3.38.38101.300.2170.600025.6";"2023.4939396.38101.3.600025.300.2170.57298.6";"Secretaria de Justiça e Direitos Humanos"
"2024.3.11.11101.425.7744.600020.6";"2024.3.11.11101.425.7744.600020.6";"2024.5211785.11101.0.600020.425.7744.61640.6";"Secretaria da Educação"
"2024.3.11.11301.424.4048.600009.6";"2024.3.11.11301.424.4048.600009.6";"2024.5211177.11301.16.600009.424.4048.61629.6";"Secretaria da Educação"
"2024.3.21.21301.414.5793.600076.6";"2024.3.21.21301.414.5793.600076.6";"2024.5226315.21301.0.600076.414.5793.91339.6";"Secretaria do Trabalho, Emprego, Renda e Esporte"
"2024.3.22.22301.406.1372.600046.6";"2024.3.22.22301.406.1372.600046.6";"2024.5212815.22301.0.600046.406.1372.62306.6";"Secretaria de Cultura"
"2024.3.22.22301.406.7857.600041.6";"2024.3.22.22301.406.7857.600041.6";"2024.5212023.22301.0.600041.406.7857.62301.6";"Secretaria de Cultura"
"2024.3.32.32101.411.3701.600053.6";"2024.3.32.32101.411.3701.600053.6";"2024.5224663.32101.0.600053.411.3701.62313.6";"Secretaria de Turismo"
"2024.3.80.80102.900.8070.600057.6";"2024.3.80.80102.900.8070.600057.6";"2024.5225730.80102.0.600057.900.8070.91342.6";"Encargos Gerais do Estado"
"2025.3.10.10101.417.7385.600054.6";"2025.3.10.10101.417.7385.600054.6";"2025.5677801.10101.0.600054.417.7385.90186.6";"Secretaria da Agricultura, Pecuária, Irrigação, Pesca e Aquicultura"
"2025.3.26.26401.419.1162.600075.6";"2025.3.26.26401.419.1162.600075.6";"2025.5672544.26401.1.600075.419.1162.91385.6";"Secretaria de Desenvolvimento Urbano"
"2025.3.32.32802.411.5893.600158.6";"2025.3.32.32802.411.5893.600158.6";"2025.6181733.32802.0.600158.411.5893.97771.6";"Secretaria de Turismo"
"2025.3.34.34101.429.4181.600043.6";"2025.3.34.34101.429.4181.600043.6";"2025.5673210.34101.0.600043.429.4181.90235.6";"Secretaria de Políticas para as Mulheres"
