"Ano Exercício";"Órgão";"sgl_orgao_orcamento";"Unidade Orçamentária";"nom_res_unidade_orcamentaria";"Ação do Programa de Governo";"cod_subfonte_recurso";"Deputado";"Nome do Deputado";"num_codigo";"Valor Orçado Inicial.";"Valor Orçado Atual.";"Valor Empenhado.";"Valor Liquidado.";"Valor Pago."
"2024";"Secretaria de Políticas para as Mulheres";"SPM";"Assessoria de Planejamento e Gestão - SPM";"APG";"Apoio a Projeto";"500101";"  Jurailton Santos";"  Jurailton Santos";"2024.3.34.34101.430.5558.500101.5";"205900,00";"459000,00";"443700,00";"443700,00";"422900,00"
"2024";"Secretaria da Educação";"SEC";"Universidade Estadual de Feira de Santana";"UEFS";"Infraestrutura em Unidade Universitária";"500098";"  Hilton Coelho";"  Hilton Coelho";"2024.3.11.11303.424.7867.500098.5";"125000,00";"155000,00";"125196,62";"105222,62";"103249,94"
"2018";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Oferta de Transporte Escolar Município";"500069";"  Antonio Henrique Junior";"  Antonio Henrique Junior";"2018.3.11.11101.212.2984.500069.5";"403496,00";"0,00";"0,00";"0,00";"0,00"
"2024";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Assessoria de Planejamento e Gestão - SETRE";"APG";"Apoio a Geração de Trabalho e Renda";"500020";"  Fátima Nunes";"  Fátima Nunes";"2024.3.21.21101.413.5917.500020.5";"260000,00";"0,00";"0,00";"0,00";"0,00"
"2024";"Secretaria de Turismo";"SETUR";"Superintendência de Fomento ao Turismo do Estado da Bahia";"SUFOTUR";"Apoio a Evento de Interesse Turístico";"500080";"  Luciano Simões Filho";"  Luciano Simões Filho";"2024.3.32.32802.411.5893.500080.5";"0,00";"1575000,00";"1575000,00";"1100000,00";"1100000,00"
"2026";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Apoio Financeiro para a Melhoria";"500121";"  Cafu Barreto";"  Cafu Barreto";"2026.3.11.11101.422.3334.500121.5";"1548746,00";"1548748,00";"0,00";"0,00";"0,00"
"2020";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Apoio ao aparelhamento";"500019";"  Fabrício Falcão";"  Fabrício Falcão";"2020.3.19.19601.313.3351.500019.5";"0,00";"0,00";"0,00";"0,00";"0,00"
"2024";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Superintendência dos Desportos do Estado da Bahia";"SUDESB";"Promoção de Atividade de Esporte";"500120";"  Binho Galinha";"  Binho Galinha";"2024.3.21.21301.414.5779.500120.5";"0,00";"260000,00";"260000,00";"260000,00";"260000,00"
"2021";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Aparelhamento de Unidade de Saúde";"500117";"  Paulo Câmara";"  Paulo Câmara";"2021.3.19.19601.313.5607.500117.5";"50000,00";"50000,00";"48880,05";"34000,00";"34000,00"
"2023";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Aparelhamento de Unidade Escolar";"500020";"  Fátima Nunes";"  Fátima Nunes";"2023.3.11.11101.306.7744.500020.5";"121900,00";"0,00";"0,00";"0,00";"0,00"
"2024";"Secretaria de Ciência, Tecnologia e Inovação";"SECTI";"Assessoria de Planejamento e Gestão - SECTI";"APG";"Implantação de Espaço de Ciência";"500063";"  Zé Raimundo";"  Zé Raimundo";"2024.3.28.28101.405.5649.500063.5";"35000,00";"35000,00";"35000,00";"35000,00";"35000,00"
"2026";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Gerenciamento do Serviço Hospitalar";"500018";"  Euclides Fernandes";"  Euclides Fernandes";"2026.3.19.19601.435.2875.500018.5";"3200000,00";"3200000,00";"0,00";"0,00";"0,00"
"2023";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Aparelhamento de Unidade de Educação";"500108";"  Olivia Santana";"  Olivia Santana";"2023.3.11.11101.306.5134.500108.5";"35000,00";"34166,00";"34165,60";"34165,60";"34165,60"
"2025";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Aparelhamento de Unidade de Saúde";"500125";"  Eures Ribeiro";"  Eures Ribeiro";"2025.3.19.19601.436.5607.500125.5";"2694200,00";"2694200,00";"2694200,00";"571847,24";"571847,24"
"2017";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Aparelhamento de Unidade de Saúde";"500007";"  Ângelo Coronel";"  Ângelo Coronel";"2017.3.19.19601.200.5607.500007.5";"753754,00";"0,00";"0,00";"0,00";"0,00"
"2023";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Implementação de Fanfarra";"500038";"  Maria Del Carmen";"  Maria Del Carmen";"2023.3.11.11101.306.6597.500038.5";"392000,00";"0,00";"0,00";"0,00";"0,00"
"2020";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Aparelhamento de Unidade Escolar";"500020";"  Fátima Nunes";"  Fátima Nunes";"2020.3.11.11101.306.7744.500020.5";"5850,00";"5850,00";"0,00";"0,00";"0,00"
"2022";"Secretaria da Saúde";"SESAB";"Fundo Estadual de Saúde";"FESBA";"Aparelhamento de Unidade de Saúde";"500095";"  Dal";"  Dal";"2022.3.19.19601.313.5607.500095.5";"153000,00";"153000,00";"152640,22";"132694,61";"132694,61"
"2017";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Oferta de Transporte Escolar Município";"500083";"  Pablo Barrozo";"  Pablo Barrozo";"2017.3.11.11101.212.2984.500083.5";"386120,00";"386120,00";"0,00";"0,00";"0,00"
"2025";"Secretaria da Educação";"SEC";"Assessoria de Planejamento e Gestão - SEC";"APG";"Oferta de Transporte Escolar Município";"500070";"  Bobô";"  Bobô";"2025.3.11.11101.422.2984.500070.5";"398000,00";"0,00";"0,00";"0,00";"0,00"
"2023";"Secretaria da Educação";"SEC";"Fundo de Assistência Educacional";"FAED";"Aparelhamento de Unidade Escolar";"500118";"  Josafá Marinho";"  Josafá Marinho";"2023.3.11.11601.306.7744.500118.5";"0,00";"28230,00";"28230,00";"28230,00";"28230,00"
"2025";"Secretaria do Trabalho, Emprego, Renda e Esporte";"SETRE";"Superintendência dos Desportos do Estado da Bahia";"SUDESB";"Apoio a Projeto de Infraestrutura Física";"500132";"  Ludmilla Fiscina";"  Ludmilla Fiscina";"2025.3.21.21301.414.7973.500132.5";"200000,00";"0,00";"0,00";"0,00";"0,00"
"2024";"Secretaria da Educação";"SEC";"Fundo de Assistência Educacional";"FAED";"Realização do Projeto na Educação Básica";"500063";"  Zé Raimundo";"  Zé Raimundo";"2024.3.11.11601.422.6594.500063.5";"0,00";"720000,00";"720000,00";"720000,00";"720000,00"
"2025";"Secretaria de Turismo";"SETUR";"Assessoria de Planejamento e Gestão - SETUR";"APG";"Apoio à Realização de Evento";"500126";"  Felipe Duarte";"  Felipe Duarte";"2025.3.32.32101.411.3701.500126.5";"0,00";"1720000,00";"1550000,00";"1500000,00";"1500000,00"
